Iterazioni,Algoritmo,Taglio,CPU_Time
1,Random,1495023,0.076134
1,Greedy,2313130,1.387
2,Random,1494965,0.119525
2,Greedy,2335709,3.22424
4,Random,1494834,0.240899
4,Greedy,2356627,8.13821
8,Random,1494425,0.38913
8,Greedy,2341070,9.4954
16,Random,1494491,0.772421
16,Greedy,2339145,23.6577
32,Random,1495144,1.92829
32,Greedy,2367546,41.123
64,Random,1496482,3.67447
64,Greedy,2358318,111.115
128,Random,1496629,8.29971
128,Greedy,2375455,193.995
256,Random,1496556,18.4873
256,Greedy,2369037,355.882
512,Random,1496430,28.4078
512,Greedy,2371358,719.098
1024,Random,1496526,58.3386
1024,Greedy,2381168,1300.6
